,Stars,Text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
32,5, okay definitely feel oh skin change somewhat strong sting tingle handle sting like tingle may want something less aggressive however handle like offering opinion guess sensitive skin almost forgot would good hyaluronic acid skin body excellent rep hyaluronic application,31,12,0,4,40,271,5.9,0.36666666666666664,0.6142857142857144
33,5, best water facial spray spray consistent water droplet super fine favorite facial spray order,5,3,0,0,15,94,5.7,0.35714285714285715,0.3880952380952381
34,5, really work perfect rosacea reduces redness,1,2,0,0,7,44,6.3,0.6,0.6
35,5, sensitive skin help smooth sensitive skin,2,1,0,0,7,42,6.0,0.19999999999999998,0.7666666666666666
36,5, great refresh outstanding,1,1,0,0,4,26,7.7,0.65,0.8125
37,1, broken receive bottle broken bottle cap badly broken bottle debt happy delivery item can not return policy,12,3,0,0,18,107,5.3,-0.10000000000000003,0.55
38,5, love tríelo benefit skin tone apply moisturizer love great,9,5,0,3,10,59,5.6,0.6,0.65
39,1, damage cap broken,2,1,0,0,4,18,5.0,-0.4,0.4
40,5, buy buy saw dermatologist tikhon picked try say want live without spirit face hot shower let mineral sink feel good instead tone not must,32,11,0,5,25,138,4.7,0.3621212121212121,0.65
41,5, game change game change moisturize routine love,5,2,0,0,8,48,5.9,-0.10000000000000002,0.4666666666666666
42,5, nourish nice nourish spray moisturize,4,1,0,1,6,38,6.6,0.6,1.0
43,5, great work love freshness skin star,2,1,1,0,7,36,5.0,0.65,0.675
44,5, love always medium could load retail store always stock small one personally love large one that purchase online,15,7,0,2,19,113,5.3,0.24107142857142858,0.5071428571428571
45,1, order supplier rip love arrive damage noble broken doesn dispense amazon wont refund in,14,17,0,1,15,88,5.3,0.23333333333333336,0.6333333333333333
46,5, leaf skin soft hydrate france give use long time esthetician advice apply serum ardor moisturizer well absorption throughout day refresh hydrate skin,27,7,0,2,23,150,5.8,0.025,0.375
47,5, great love stuff,1,2,0,1,4,17,4.7,0.65,0.675
48,2, defective empty propellant order several time good guess receive defective item spray although full water find customer service contact,17,4,0,4,20,136,6.2,0.2375,0.41250000000000003
49,5, perfect,0,1,0,0,2,8,7.0,1.0,1.0
50,5, smooth refresh use whether get sunburnt skin gallery really like spray head sprayed water fine soft,8,3,0,2,17,100,5.2,0.27916666666666673,0.38749999999999996
51,5, skin status improve oily skin people say need water give try indeed skin become well well expect,12,4,0,2,18,97,4.7,0.0,0.0
52,5, perfect sensitive dry skin perfect sensitive skin skin pretty dry sensitive winter season ink allergic day ago spray literally save face spray put sincere face,19,4,0,1,26,160,5.4,0.32407407407407407,0.8222222222222223
53,5, great great,0,0,0,0,3,12,5.0,0.8,0.75
54,5, great variety application dry skin wash face moisturizer,11,1,0,2,9,57,6.1,0.3666666666666667,0.675
55,5, facial mist spray la rise say thermal spring water soothe face mist spray antioxidant essential soothe face body sensitive skin water mist spray help refresh tone skin thermal spring water heart la rise say unique combination mineral salt trace element scientifically demonstrate soothe property use europe century center thermal dermatology town la rise say naturally contains high concentration selenium powerful natural antioxidant mineral rich micro droplet provide immediate intense soothe facial mist spray,32,10,0,0,74,513,6.0,0.13416666666666668,0.5325000000000001
56,5, love love refresh nicely,0,4,0,0,5,25,5.2,0.5333333333333333,0.7333333333333334
57,5, relief debilitate heather flash refresh m heat sensitivity quick relief satisfy end result non irritate know cheap worth wish id menopause,9,8,0,4,22,139,5.6,0.3444444444444445,0.43333333333333335
58,3, normally acne removal effect like normal water,4,2,0,0,8,47,5.7,0.15,0.6499999999999999
59,2, get use bottle sent half use,7,1,0,0,7,29,3.8,-0.16666666666666666,0.16666666666666666
60,1, broken wont spray love come broken,3,2,0,0,7,35,4.8,-0.10000000000000002,0.4666666666666666
61,5, sensitivity good wash face refresh face protects face skin go sensitive,9,3,0,1,12,72,5.5,0.39999999999999997,0.75
62,5, didn know need use refresh game change apply serum moisturizers,8,3,0,3,11,64,5.4,-0.4,0.4
63,1, literally water nothing soften face,5,0,0,0,6,36,6.2,0.0,0.0
64,4, bottle defeat please thermal water la rise say wonderful bottle bought september problem impossible spray water even almost full help thanks,16,10,1,1,22,141,5.7,0.22083333333333333,0.6875
65,5, good moisturize skin cleanse,3,1,0,1,5,29,6.2,0.7,0.6000000000000001
66,5,,0,0,0,0,1,0,0.0,0.0,0.0
67,5, prevent flare save face rosacea flare up many time worth weight gold,8,1,0,0,13,69,4.7,0.4,0.3
68,5, well good,0,0,0,0,3,10,4.0,0.7,0.6000000000000001
69,5, perfect always,0,1,0,0,3,15,6.5,1.0,1.0
70,1, disgust smell like mold unfortunately can return in stuck it sprayed face surprised smell sprayed paper towel sniffed noble water gross,18,5,0,2,22,136,5.5,0.04999999999999999,0.7
71,1, arrive look use arrive dirty deny canter safety seal assure way arrive doesn mean safe feel safe try return return policy doesn allow,15,4,0,1,24,134,4.8,0.021875000000000006,0.621875
72,5, excellent use year love feel fresh moisturize skin,6,4,0,1,9,51,5.4,0.6,0.7000000000000001
73,3, good pro love refresh morning prior put make,7,1,0,0,9,45,4.6,0.39999999999999997,0.4000000000000001
74,5, great sensitive skin burn irritated skin great sensitive skin burn irritated skin,4,4,0,0,13,82,5.8,0.45000000000000007,0.825
75,5, continue subscribe must winter keep one bedroom whenever feel dry skin facial mass skin pretty sensitive work really well skin amazon cheapest price in able find ill continue subscribe item sure,22,7,0,6,32,195,5.3,0.12291666666666667,0.6517361111111111
76,2, spray work use about spray number address contact like work buy,7,7,0,16,12,64,4.8,0.0,0.0
77,5, great excellent quality delivery try far good,3,1,0,0,8,46,5.6,0.65,0.8375
78,5, like love son year old like,1,3,1,2,7,28,3.7,0.3,0.4
79,2, cap broken spray minor defect package arrive cap broken sure spray part work longer,6,1,0,0,15,84,5.0,-0.08750000000000002,0.4722222222222222
80,4, gentle sensitive skin good easy,4,1,0,0,6,32,5.4,0.35833333333333334,0.7833333333333334
81,1, less quality usual less quality usual,3,0,0,0,7,38,5.3,-0.20833333333333331,0.15833333333333333
82,5, may be product te dear la pile hidratada suave to la so ant dispute del maquillaje come fijador,0,1,0,20,19,96,4.3,0.0,0.0
83,5, quality goodquality price recommend moisturizes skin well order,7,1,0,1,9,64,7.0,0.0,0.0
84,1, able return able return,2,6,0,2,5,24,5.0,0.5,0.625
85,5, moisture skin cream basically water inside really love usually outdoor run work pretty well,8,5,0,2,15,92,5.6,0.16666666666666666,0.6166666666666667
86,4, good skencare almost every day well moisture skin need wear make would good choice beforehand spray sometimes get little stuck press really hard,22,7,0,1,24,145,5.3,0.2302083333333333,0.5604166666666667
87,5, work well feel really refresh skin really good hidratación refresh,4,1,0,0,11,67,5.7,0.44999999999999996,0.4
88,1, seal full come without seal wrap around cap still full,7,3,0,0,11,55,4.5,0.35,0.55
89,5, happy get great love,4,0,0,3,5,21,4.2,0.7000000000000001,0.7833333333333333
90,5, moist skin easily love scent moisturize easy,3,4,0,0,8,45,5.4,0.4666666666666667,0.7166666666666667
91,5, surprisingly wonderful overprice can water yep need work yes heard dermatologist actual evidence support efficacy thermal spring water skin health decide buy whim initially felt silly buying water glad soothe sensitive skin like apply serum moisturizer wet skin spray wash face apply moisturizer face still wet great cool skin get flush rosacea day one need swing fancy water disappointed,62,20,0,10,60,389,5.6,0.11818181818181821,0.6204545454545456
92,1, security come without seal wrap around cap know safe genuine want money back seal complete,11,3,1,2,16,91,5.1,0.25,0.35
93,5, love love spring water much spray skin daytime without irritation definitely buy highly recommend everyone,13,8,0,2,16,107,6.1,0.27199999999999996,0.488
94,1, salt salt dry skin,2,1,0,0,5,19,3.7,-0.06666666666666665,0.6
95,5, great size soothe love size,3,4,0,0,6,28,4.6,0.65,0.675
96,5, great rosacea rosacea therefore sensitive skin st time purchasing la rise say thermal spring water sensitive skin rosacea learn trigger heat one trigger spray fabulous fine mist quick couple prize skin feel cooper lot less irritated favorite la rise say highly recommend anyone rosacea give try amazon sell high price approximately amazon company webster size bottle,44,16,0,4,57,367,5.6,0.21848484848484853,0.6633333333333332
97,5, recommend good,0,2,0,0,3,15,6.5,0.7,0.6000000000000001
98,5, use everyday dry skin can leave,1,2,0,0,7,32,4.3,-0.13333333333333333,0.6
99,1, without seal get order clearly less seal without seal seem already use id like money back replace item properly seal,21,9,0,1,21,117,4.8,-0.05555555555555555,0.05555555555555556
100,3, calm skin mist spray isn fine enough calm skin irritation lightly refresh instantly doesn provide hydration moisture long run sub soften tone think price friendly point price point wish mist spray well isn fine enough compare avenue bottle,28,14,0,1,39,240,5.3,0.21583333333333338,0.5766666666666667
101,3, seem use wrap fill liquid think use,12,4,0,1,8,36,4.1,0.0,0.0
102,5, best ever pirate skin nicely give glow dry skincheck link buy waste timehttpswwwamazoncomdpbvorefas_sl_pc_tf_tiltagnilze linkcodewlinkidbcfcebceaaefafcreativeasinbvo,10,23,0,0,15,166,10.9,0.33333333333333337,0.475
103,5, good sensitive skin sensitive skin good amaze thing deliver soon expect,12,5,0,1,12,72,5.5,0.39999999999999997,0.75
104,1, expect doesn work,3,0,0,0,4,18,5.0,0.0,0.0
105,1, destroyed transit love disappointed receive damage work top wont spray press spending doesn give option replace cancel orderupdatejust receive another defective spray top still can return spending money anymore,21,6,0,2,30,211,6.3,0.1875,0.5875
106,5, spray hydrate absolutely love need little moisture doesn irritate skin,6,3,0,2,11,71,6.1,0.15625,0.55
107,3, atomizer defective order two one bang delivery try replace option want available amazon atomizer stop work half way bottle throw away still half full ridiculous half nice isn cheap go waste atomizer isn work ridiculous amazon replace,30,10,0,3,38,234,5.3,0.038333333333333344,0.5149999999999999
108,5, buy ridiculously sensitive skin amazingwill buy,5,3,0,2,7,48,7.0,0.1,0.9
109,3, prayer stop work good really enjoy usinghowever prayer stop work white bottle almost full leave almost new can even,8,6,0,2,20,116,5.1,0.31727272727272726,0.4209090909090909
110,5, excellent peel perfect,1,2,0,0,4,23,6.7,1.0,1.0
111,5, hydrate spray great hydrate spray,0,0,0,0,6,34,5.8,0.8,0.75
112,2, spray do work medium could load doesn work give use la rise thermal water year never happen us water lean spray doesn work first time order online never,18,9,1,1,29,153,4.5,0.25,0.3333333333333333
113,5, love great hydrate dry itchy sensitive skin usually shower dehydrate skin since typically shower warm hot water especially winter month price point unfordable though like compare amazon offer target see sell cheaper time buying purchase handful time continue buy definitely recommend feel like need something like thank,33,11,0,4,48,320,5.8,0.1766666666666667,0.655
114,5, cool easy fragrant free,1,1,0,0,5,24,5.0,0.39444444444444443,0.7611111111111111
115,4, add hydration enhance skin hydration far think work,4,2,0,2,9,52,5.5,0.1,1.0
116,5, great great freshen great put shave,6,1,0,1,7,36,5.0,0.8000000000000002,0.75
117,2, false advertising advertised ounce amount list previously receive however amount list can ounce price la rich pose change container size note,22,8,0,1,22,142,5.8,-0.06388888888888893,0.5055555555555555
118,5, word can not describe much love,1,1,0,1,7,32,4.3,0.5,0.6
119,5, refresh love refresh last month,2,1,0,0,6,32,5.4,0.25,0.3333333333333333
120,5, lifesaver sensitive skin fine cool mist feel like heaven reactive skin,2,1,0,1,12,71,5.5,0.2888888888888889,0.6833333333333332
121,5, classic love use apply moisturizer excellent,1,5,0,0,7,45,6.5,0.5555555555555555,0.5888888888888889
122,2, waste money spray great last week can start leak longer work,9,0,1,0,12,61,4.5,0.20000000000000004,0.2722222222222222
123,5, recommend good,1,0,0,0,3,15,6.5,0.7,0.6000000000000001
124,5, must work great sensitive skin,2,1,0,0,6,31,5.2,0.45,0.825
125,5, great think stick love,7,3,0,1,5,23,4.7,0.65,0.675
126,5, amaze guilty pleasure give sample bottle platoche say thermal spring water sample bottle like many thought would buy water sprtizer get water squire bottle far less tell in addict fine mist refresh nice light natural scent real pick begin day end long day wife isn big fan cosmetic similar love would thought bottle ship issue nothing broken rust dentslove in hooked,47,23,0,3,62,367,5.0,0.12142857142857144,0.5261904761904762
127,5, nice quick spirit facial spray scent appreciate love water great dry skin problem top flog damage delivery problem anything amazon happen one can,26,6,0,2,24,146,5.3,0.380952380952381,0.5642857142857143
128,2, good wont buy good sensitive skin really good job receive seem use one half liquid inside,18,3,0,1,17,90,4.6,0.40666666666666673,0.5733333333333334
129,5, good always buy,1,0,0,0,4,16,4.3,0.7,0.6000000000000001
130,1, damage damage consumer dirtyand top can return,5,2,0,1,8,47,5.7,0.5,0.5
131,3, moisture recommend dry sensitive skin apply face gentle hit face otherwise moisture face,16,7,0,0,14,89,5.8,0.07777777777777779,0.7666666666666666
132,5, best facial mist use lot facial spray found one best one make face feel fresh relax,10,1,0,0,17,84,4.2,0.45999999999999996,0.22000000000000003
133,5, really like really like great midday face felt dry foi bottle really big best size carry around,10,2,0,2,18,96,4.6,0.3555555555555556,0.35833333333333334
134,2, sensitive skin react doesn spray fine mist like thermal water give try believe suitable sensitive skin within minute apply skin bright red within hour two liable bumpsone eyebrow one mouth,21,7,0,2,31,189,5.3,0.25238095238095243,0.6214285714285713
135,3, delay broken come delay broken,3,0,0,0,6,31,5.2,-0.4,0.4
136,1, get date already pass expiration date,5,3,0,2,7,38,5.3,0.0,0.0
137,5, good shipping fast good quality,0,1,0,0,6,32,5.4,0.5333333333333333,0.6000000000000001
138,5, water nice water fragrance free contains mineral zinc copper magnesium selenium beneficial skin integrity soothe,6,5,0,0,16,113,6.5,0.5,0.9
139,5, great give use month fantastic fine mist skin can live without moisturize effect good high recommend,10,5,1,1,17,101,5.3,0.43550505050505056,0.6316666666666667
140,5, love love wonderful,2,2,0,0,4,20,5.7,0.6666666666666666,0.7333333333333334
141,1, sensitive skin much fragrance,2,4,0,0,5,30,6.5,0.15000000000000002,0.55
142,5, super hydrate water spray sensitive skin tends dry tolerate heavy moisturizers thermal spring water spray hydrate face use light moisturizer fantastic face feel completely soothe hydrate soon spray la rise say thermal spring water sensitive skin spray hair body feel great love scent water spray best give use give try many find brand superior hydrate sensitive dry skin excellent bottle big justify price,40,17,0,6,64,406,5.4,0.33529411764705885,0.6598039215686274
143,5, love love,2,0,0,0,3,10,4.0,0.5,0.6
144,3,,3,0,0,0,1,0,0.0,0.0,0.0
145,5, cool cool refresh surgery wonderful way deal feverish face,4,2,0,0,10,59,5.6,0.39999999999999997,0.6749999999999999
146,5, perfect perfect felt day,3,0,0,0,5,25,5.2,1.0,1.0
147,5, perfect hydration dry oily skin great w hypersensitive skin perfect use yes totally recommend,4,2,1,1,15,94,5.7,0.5466666666666666,0.82
148,5, refresh reason end can content something go wrong spray system,8,5,0,0,11,63,5.3,-0.5,0.9
149,5, good expect strong spray hurt skin good,5,1,0,0,8,40,4.7,0.611111111111111,0.6444444444444445
150,5, good good,1,0,0,0,3,10,4.0,0.7,0.6000000000000001
151,5, best sensitive skin absolutely best facial spray give ever scent adequate gentle spray perfect sensitive skin soothe irritated skin breakout,7,5,0,0,21,141,6.0,0.46666666666666673,0.5666666666666667
152,5, great great recommend,0,8,0,0,4,22,6.3,0.8,0.75
153,5, good comfortable skin,2,0,0,0,4,22,6.3,0.55,0.7000000000000001
154,5, excellent would buy,1,2,0,1,4,20,5.7,1.0,1.0
155,4, like like,0,0,0,0,3,10,4.0,0.0,0.0
156,5, refresh great use year refresh without dry skin feel normal water,7,3,0,0,12,66,5.0,0.29444444444444445,0.6666666666666666
157,5, love moisture throughout day set spray make apply,7,0,0,1,9,50,5.2,0.5,0.6
158,5, rise post excellent,1,3,0,0,4,20,5.7,1.0,1.0
159,5, sensitive skin acne must cleanse face hydrate help acne perfect sensitive skin must,15,1,0,0,14,84,5.5,0.4000000000000001,0.9333333333333332
160,5, good come expect,1,0,0,0,4,17,4.7,0.7,0.6000000000000001
161,5, satisfied purchase great tone sensitive skin,3,0,0,0,7,45,6.5,0.46666666666666673,0.8833333333333333
162,5, love every day cleaning face moisturize make cream go smoothly bottle large last long time,14,3,0,1,16,91,5.1,0.21285714285714286,0.39904761904761904
163,5, work need try wonderful daily skin spray face neck arizona weather condition,5,1,0,0,13,77,5.4,0.5,0.5
164,5, good good,2,0,0,0,3,10,4.0,0.7,0.6000000000000001
